image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.000187,0,0.000166,2.4e-05,0.996747,0.000122,0.002752,2e-06
img_00007.jpg,0.036269,0.011175,0.0244375,0.0187945,0.0009105,0.0014745,0.003582,0.903357
img_00009.jpg,0.768726333333333,0.134284,0.020527,0.0103046666666667,0.00189966666666667,0.0590476666666667,0.001172,0.004038
img_00018.jpg,0.566547,0.054899,0.0334533333333333,0.0128683333333333,0.001788,0.323219333333333,0.00132866666666667,0.00589633333333333
img_00027.jpg,0.50547,0.2029155,0.0014285,0.002614,0.0033635,0.248244,0.0023025,0.0336625
img_00030.jpg,0.1045165,0.006574,0.023352,0.0059145,0.2705075,0.4093485,0.166303,0.013485
img_00040.jpg,0.134261,0.021672,0.009073,0.003064,0.0054935,0.2605115,0.4853615,0.0805625
img_00046.jpg,0.728799,0.0004665,0.002764,0.0001845,0.204309,0.057054,0.0026755,0.003747
img_00053.jpg,0.7396715,0.033154,0.0438095,0.005739,0.018422,0.1144385,0.0115405,0.0332255
img_00071.jpg,0.121114333333333,0.00629,0.006216,0.609819,0.012131,0.235912666666667,0.00145266666666667,0.00706433333333333
img_00075.jpg,0.642796,0.0180145,0.0003415,0.000659,0.005616,0.330535,0.0017475,0.0002915
img_00102.jpg,0.084518,0.098601,0.0102715,0.002173,0.0017705,0.126913,0.0027745,0.6729785
img_00103.jpg,0.965710333333333,0.0138316666666667,0.000540333333333333,0.000671,0.000400666666666667,0.009908,0.000353666666666667,0.00858466666666667
img_00109.jpg,0.993166,4.35e-05,0.000465,7.7e-05,0.0020295,0.0036525,0.0002695,0.000297
img_00119.jpg,0.0097045,0.000318,0.0051425,0.0014995,0.2311395,0.517759,0.0043175,0.2301195
img_00120.jpg,0.58441,0.0173765,0.0005255,0.0017565,0.0002745,0.0016745,0.078039,0.3159435
img_00125.jpg,0.694638333333333,0.00703733333333333,0.00538166666666667,0.00405233333333333,0.00073,0.028698,0.0116046666666667,0.247857333333333
img_00128.jpg,0.0063105,0.058272,0.56985,0.0019165,0.0041305,0.005004,0.000906,0.353611
img_00129.jpg,0.17778,0.0149925,0.01082,0.00466,0.0049045,0.1718675,0.5472135,0.067762
img_00133.jpg,0.46445,0.0024395,0.0133125,0.003304,0.4612135,0.0526705,0.002334,0.000276
img_00138.jpg,0.840675,0.071008,0.013069,0.0023925,0.008333,0.0094885,0.002842,0.052192
img_00141.jpg,7.3e-05,0.000247,0.0022685,4.8e-05,2.6e-05,5.45e-05,0.001121,0.9961635
img_00152.jpg,0.0001035,0.001905,0.021233,0.001218,0.0005005,0.042658,0.0691475,0.8632345
